REPORTING_PERIOD_START,REPORTING_PERIOD_END,STATUS,BREAKDOWN,PRIMARY_LEVEL,PRIMARY_LEVEL_DESCRIPTION,SECONDARY_LEVEL,SECONDARY_LEVEL_DESCRIPTION,MEASURE_ID,MEASURE_NAME,MEASURE_VALUE
01/02/2024,30/04/2024,Performance,England,England,England,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,19727
01/02/2024,30/04/2024,Performance,England,England,England,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,2099
01/02/2024,30/04/2024,Performance,England,England,England,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,10.64024
01/02/2024,30/04/2024,Performance,England,England,England,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,178843
01/02/2024,30/04/2024,Performance,England,England,England,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,191240
01/02/2024,30/04/2024,Performance,England,England,England,NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,22947
01/02/2024,30/04/2024,Performance,England,England,England,NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,4169
01/02/2024,30/04/2024,Performance,England,England,England,NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,18.167952
01/02/2024,30/04/2024,Performance,England,England,England,NONE,NONE,MRS11,Number of CYP referral-spells that started in the RP,204357
01/02/2024,30/04/2024,Performance,England,England,England,NONE,NONE,MRS12,Number of CYP referral-spells that closed in the RP,219151
01/02/2024,30/04/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,315
01/02/2024,30/04/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,*
01/02/2024,30/04/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,*
01/02/2024,30/04/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,2080
01/02/2024,30/04/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,1970
01/02/2024,30/04/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,375
01/02/2024,30/04/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,45
01/02/2024,30/04/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,12
01/02/2024,30/04/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS11,Number of CYP referral-spells that started in the RP,5955
01/02/2024,30/04/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS12,Number of CYP referral-spells that closed in the RP,4545
01/02/2024,30/04/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,320
01/02/2024,30/04/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,25
