REPORTING_PERIOD_START,REPORTING_PERIOD_END,STATUS,BREAKDOWN,PRIMARY_LEVEL,PRIMARY_LEVEL_DESCRIPTION,SECONDARY_LEVEL,SECONDARY_LEVEL_DESCRIPTION,MEASURE_ID,MEASURE_NAME,MEASURE_VALUE
01/06/2024,31/08/2024,Performance,England,England,England,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,12826
01/06/2024,31/08/2024,Performance,England,England,England,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,924
01/06/2024,31/08/2024,Performance,England,England,England,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,7.204117
01/06/2024,31/08/2024,Performance,England,England,England,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,177539
01/06/2024,31/08/2024,Performance,England,England,England,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,159228
01/06/2024,31/08/2024,Performance,England,England,England,NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,22214
01/06/2024,31/08/2024,Performance,England,England,England,NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,3955
01/06/2024,31/08/2024,Performance,England,England,England,NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,17.804087
01/06/2024,31/08/2024,Performance,England,England,England,NONE,NONE,MRS11,Number of CYP referral-spells that started in the RP,161510
01/06/2024,31/08/2024,Performance,England,England,England,NONE,NONE,MRS12,Number of CYP referral-spells that closed in the RP,202793
01/06/2024,31/08/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,275
01/06/2024,31/08/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,*
01/06/2024,31/08/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,*
01/06/2024,31/08/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,2445
01/06/2024,31/08/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,2065
01/06/2024,31/08/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,415
01/06/2024,31/08/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,65
01/06/2024,31/08/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,15
