REPORTING_PERIOD_START,REPORTING_PERIOD_END,STATUS,BREAKDOWN,PRIMARY_LEVEL,PRIMARY_LEVEL_DESCRIPTION,SECONDARY_LEVEL,SECONDARY_LEVEL_DESCRIPTION,MEASURE_ID,MEASURE_NAME,MEASURE_VALUE
01/05/2024,31/07/2024,Performance,England,England,England,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,14588
01/05/2024,31/07/2024,Performance,England,England,England,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,929
01/05/2024,31/07/2024,Performance,England,England,England,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,6.368248
01/05/2024,31/07/2024,Performance,England,England,England,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,178835
01/05/2024,31/07/2024,Performance,England,England,England,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,159638
01/05/2024,31/07/2024,Performance,England,England,England,NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,24367
01/05/2024,31/07/2024,Performance,England,England,England,NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,4914
01/05/2024,31/07/2024,Performance,England,England,England,NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,20.166618
01/05/2024,31/07/2024,Performance,England,England,England,NONE,NONE,MRS11,Number of CYP referral-spells that started in the RP,199100
01/05/2024,31/07/2024,Performance,England,England,England,NONE,NONE,MRS12,Number of CYP referral-spells that closed in the RP,198078
01/05/2024,31/07/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,300
01/05/2024,31/07/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,*
01/05/2024,31/07/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,*
01/05/2024,31/07/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,2470
01/05/2024,31/07/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,1985
01/05/2024,31/07/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,355
01/05/2024,31/07/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,65
01/05/2024,31/07/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,18
01/05/2024,31/07/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS11,Number of CYP referral-spells that started in the RP,6885
01/05/2024,31/07/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS12,Number of CYP referral-spells that closed in the RP,8410
01/05/2024,31/07/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,300
01/05/2024,31/07/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,40
01/05/2024,31/07/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,13
01/05/2024,31/07/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,2550
01/05/2024,31/07/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,2165
