REPORTING_PERIOD_START,REPORTING_PERIOD_END,STATUS,BREAKDOWN,PRIMARY_LEVEL,PRIMARY_LEVEL_DESCRIPTION,SECONDARY_LEVEL,SECONDARY_LEVEL_DESCRIPTION,MEASURE_ID,MEASURE_NAME,MEASURE_VALUE
01/04/2024,30/06/2024,Performance,England,England,England,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,16139
01/04/2024,30/06/2024,Performance,England,England,England,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,934
01/04/2024,30/06/2024,Performance,England,England,England,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,5.7872233
01/04/2024,30/06/2024,Performance,England,England,England,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,175622
01/04/2024,30/06/2024,Performance,England,England,England,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,159100
01/04/2024,30/06/2024,Performance,England,England,England,NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,25875
01/04/2024,30/06/2024,Performance,England,England,England,NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,4930
01/04/2024,30/06/2024,Performance,England,England,England,NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,19.05314
01/04/2024,30/06/2024,Performance,England,England,England,NONE,NONE,MRS11,Number of CYP referral-spells that started in the RP,196368
01/04/2024,30/06/2024,Performance,England,England,England,NONE,NONE,MRS12,Number of CYP referral-spells that closed in the RP,180308
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,280
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,*
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,*
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,2360
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,1950
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,405
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,70
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,17
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS11,Number of CYP referral-spells that started in the RP,6110
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS12,Number of CYP referral-spells that closed in the RP,5375
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,275
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,25
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,9
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,2445
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,2075
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,555
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,90
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,16
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS11,Number of CYP referral-spells that started in the RP,4525
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS12,Number of CYP referral-spells that closed in the RP,4370
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,150
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,5
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,3
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,3105
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,2850
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,605
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,115
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,19
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS11,Number of CYP referral-spells that started in the RP,2000
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS12,Number of CYP referral-spells that closed in the RP,1650
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,50
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,*
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,*
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,1525
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,2395
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,815
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,220
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,27
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,NONE,NONE,MRS11,Number of CYP referral-spells that started in the RP,3395
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,NONE,NONE,MRS12,Number of CYP referral-spells that closed in the RP,3405
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,190
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,10
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,5
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,2285
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,1930
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,65
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,10
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,12
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",NONE,NONE,MRS11,Number of CYP referral-spells that started in the RP,2660
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",NONE,NONE,MRS12,Number of CYP referral-spells that closed in the RP,2630
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,755
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,20
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,3
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,6505
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,6265
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,490
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,70
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,14
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,NONE,NONE,MRS11,Number of CYP referral-spells that started in the RP,6880
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,NONE,NONE,MRS12,Number of CYP referral-spells that closed in the RP,4195
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,1065
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,95
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,9
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,9015
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,8085
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,2475
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,350
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,14
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS11,Number of CYP referral-spells that started in the RP,13085
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS12,Number of CYP referral-spells that closed in the RP,10740
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,875
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,80
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,9
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,2040
01/04/2024,30/06/2024,Performance,ICB of GP Practice or Residence,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,2040
