REPORTING_PERIOD_START,REPORTING_PERIOD_END,STATUS,BREAKDOWN,PRIMARY_LEVEL,PRIMARY_LEVEL_DESCRIPTION,SECONDARY_LEVEL,SECONDARY_LEVEL_DESCRIPTION,MEASURE_ID,MEASURE_NAME,MEASURE_VALUE
01/03/2024,31/05/2024,Performance,England,England,England,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,18173
01/03/2024,31/05/2024,Performance,England,England,England,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,1448
01/03/2024,31/05/2024,Performance,England,England,England,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,7.9678645
01/03/2024,31/05/2024,Performance,England,England,England,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,179046
01/03/2024,31/05/2024,Performance,England,England,England,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,194542
01/03/2024,31/05/2024,Performance,England,England,England,NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,24044
01/03/2024,31/05/2024,Performance,England,England,England,NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,4314
01/03/2024,31/05/2024,Performance,England,England,England,NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,17.942106
01/03/2024,31/05/2024,Performance,England,England,England,NONE,NONE,MRS11,Number of CYP referral-spells that started in the RP,205689
01/03/2024,31/05/2024,Performance,England,England,England,NONE,NONE,MRS12,Number of CYP referral-spells that closed in the RP,202538
01/03/2024,31/05/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01,Number of CMH referral-spells receiving a full clock stop in the RP,315
01/03/2024,31/05/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01a,Number of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,*
01/03/2024,31/05/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS01b,Proportion of CMH referral-spells receiving a full clock stop in less than 4 weeks in the RP,*
01/03/2024,31/05/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS04,Number of CMH referral-spells that started in the RP,2240
01/03/2024,31/05/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS05,Number of CMH referral-spells that closed in the RP,1870
01/03/2024,31/05/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08,Number of CYP referral-spells receiving a full clock stop in the RP,405
01/03/2024,31/05/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08a,Number of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,60
01/03/2024,31/05/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS08b,Proportion of CYP referral-spells receiving a full clock stop in less than 4 weeks in the RP,15
01/03/2024,31/05/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS11,Number of CYP referral-spells that started in the RP,6190
01/03/2024,31/05/2024,Performance,ICB of GP Practice or Residence,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NONE,NONE,MRS12,Number of CYP referral-spells that closed in the RP,5135
